prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,QUOTIDIANI AUDIPRESS
SAVONA,Liguria,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,51,0,0,48,0,0,0,0,0,91
MILANO,Lombardia,2804,0,0,0,12,0,0,340,0,0,4,0,0,0,0,0,190,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85,0,0,98,0,0,52,0,0,0,28,0,100,733
VARESE,Lombardia,776,0,0,0,2,0,0,45,0,0,0,0,0,0,0,0,37,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,9,0,0,8,0,0,0,5,0,0,115
COMO,Lombardia,523,0,0,0,4,0,0,34,0,0,0,0,0,0,0,0,46,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,5,0,0,8,0,0,6,0,0,0,10,0,6,186
SONDRIO,Lombardia,159,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,20,0,0,3,0,0,1,0,0,0,1,0,0,72
BERGAMO,Lombardia,956,0,0,0,5,0,0,80,0,0,355,0,0,0,0,0,130,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,30,0,0,24,0,0,0,10,0,4,465
BRESCIA,Lombardia,1090,0,0,0,20,0,0,91,0,0,1,0,4,0,0,0,183,0,0,16,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,40,0,0,35,0,0,0,17,0,1,585
PAVIA,Lombardia,484,0,0,0,1,0,0,20,0,0,1,0,0,0,0,0,37,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1,0,0,7,0,0,3,0,0,0,4,0,0,141
CREMONA,Lombardia,316,0,0,0,4,0,0,27,0,0,0,0,0,0,0,0,52,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,5,0,0,0,3,0,1,96
MANTOVA,Lombardia,361,0,0,0,1,0,0,21,0,0,0,0,166,0,0,0,37,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,5,0,0,0,2,0,0,190
LECCO,Lombardia,296,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,23,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,5,0,0,7,0,0,3,0,0,0,0,0,2,73
LODI,Lombardia,199,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,2,0,0,0,0,0,0,39
MONZA E DELLA BRIANZA,Lombardia,754,0,0,0,11,0,0,75,0,0,0,0,0,0,0,0,87,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,62,0,0,8,0,0,24,0,0,0,17,0,14,231
TRENTO,Trentino,465,190,93,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
BOLZANO,Trentino,447,3,103,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
VENEZIA,Veneto,753,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,39,0,136,0,0,0,0,0,0,8,0,0,0,0,0,117,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,254
VERONA,Veneto,799,0,0,191,0,0,0,28,0,0,0,0,0,0,0,0,44,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,247
VICENZA,Veneto,750,0,0,2,0,0,0,20,0,0,0,0,0,0,0,0,47,0,5,0,0,0,197,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,244
BELLUNO,Veneto,183,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,14,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,74
ROVIGO,Veneto,214,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,58
TREVISO,Veneto,767,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,34,0,111,0,0,0,5,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,115,0,0,0,240
