prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
IMPERIA,Liguria,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,42,0,0,0,0,0,0,88
SAVONA,Liguria,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,64,0,0,0,0,0,0,122
MILANO,Lombardia,2804,0,0,0,22,0,0,335,0,0,1,0,0,0,0,0,203,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,78,0,0,121,0,0,52,0,0,0,22,0,171,175,878
VARESE,Lombardia,776,0,0,0,7,0,0,41,0,0,0,0,0,0,0,0,54,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,0,26,0,0,18,0,0,0,9,0,2,4,183
COMO,Lombardia,523,0,0,0,1,0,0,22,0,0,0,0,0,0,0,0,39,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,5,0,0,12,0,0,4,0,0,0,4,0,3,3,167
SONDRIO,Lombardia,159,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,17,0,0,3,0,0,2,0,0,0,4,0,0,0,71
BERGAMO,Lombardia,956,0,0,0,5,0,0,69,0,0,323,0,0,0,0,0,115,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,22,0,0,14,0,0,0,9,0,4,4,421
BRESCIA,Lombardia,1090,0,0,0,11,0,0,67,0,0,3,0,1,0,0,0,124,0,0,21,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,29,0,0,30,0,0,0,13,0,2,1,451
PAVIA,Lombardia,484,0,0,0,3,0,0,33,0,0,0,0,0,0,0,0,44,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,6,0,0,4,0,0,6,0,0,0,4,0,1,2,144
CREMONA,Lombardia,316,0,0,0,3,0,0,26,0,0,0,0,4,0,0,0,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,3,0,0,0,3,0,0,1,78
