prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
PISA,Toscana,372,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,0,0,0,0,31,0,0,0,66
GROSSETO,Toscana,198,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,29,0,0,0,51
PISTOIA,Toscana,259,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,12,0,0,0,0,18,0,0,0,75
AREZZO,Toscana,303,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,18,0,0,0,0,7,0,0,0,89
SIENA,Toscana,236,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,5,0,0,0,0,6,0,0,0,61
PRATO,Toscana,224,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,10,0,0,0,0,23,0,0,0,60
ANCONA,Marche,415,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,28,13,0,0,0,0,0,0,0,0,105
PESARO URBINO,Marche,315,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,88,24,0,0,0,0,0,0,0,0,120
MACERATA,Marche,276,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,40,7,0,0,0,0,0,0,0,0,83
ASCOLI PICENO,Marche,184,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,28,9,0,0,0,0,0,0,0,0,74
FERMO,Marche,154,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,47
PERUGIA,Umbria,579,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
TERNI,Umbria,201,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
ROMA,Lazio,3796,0,0,0,0,0,0,159,236,26,0,74,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,253,0,0,79,0,0,0,35,0,887
VITERBO,Lazio,281,0,0,0,0,0,0,5,32,73,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,3,0,101
RIETI,Lazio,138,0,0,0,0,0,0,3,6,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,30
LATINA,Lazio,505,0,0,0,0,0,0,20,44,0,0,4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,9,0,114
FROSINONE,Lazio,430,0,0,0,0,0,0,10,23,0,0,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,11,0,87
L'AQUILA,Abruzzo,264,0,0,0,0,48,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
