prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
SALERNO,Campania,371,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,7,0,88
BARI,Puglia,963,0,0,0,0,0,0,22,41,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,190
FOGGIA,Puglia,1099,0,0,0,0,0,0,22,19,0,0,0,0,139,0,0,62,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,28,0,0,15,0,0,0,9,0,212
TARANTO,Puglia,543,0,0,0,0,0,0,18,20,0,0,0,0,76,0,0,43,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,22,0,0,13,0,0,0,14,0,141
BRINDISI,Puglia,507,0,0,0,0,0,0,19,23,0,0,0,0,64,0,0,54,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,89,0,0,0,0,0,27,0,0,16,0,0,0,11,0,175
LECCE,Puglia,348,0,0,0,0,0,0,9,9,0,0,0,0,37,0,0,40,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,68,0,0,0,0,0,10,0,0,4,0,0,0,7,0,122
BARLETTA-ANDRIA-TRANI,Puglia,705,0,0,0,0,0,0,10,13,0,0,0,0,27,0,0,35,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,130,0,0,0,0,0,9,0,0,6,0,0,0,8,0,180
POTENZA,Basilicata,340,0,0,0,0,0,0,7,16,0,0,0,0,61,0,0,28,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,0,12,0,94
MATERA,Basilicata,326,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
REGGIO CALABRIA,Sicilia,175,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
COSENZA,Sicilia,478,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,17,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
CATANZARO,Sicilia,623,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,24,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
CROTONE,Sicilia,315,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
VIBO VALENTIA,Sicilia,152,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
PALERMO,Sicilia,140,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
TRAPANI,Sicilia,1086,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,20,1,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,3,0,0,0,0,0,0,178
AGRIGENTO,Sicilia,379,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,40
CALTANISSETTA,Sicilia,382,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,15,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,54
ENNA,Sicilia,229,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,0,54
RAGUSA,Sicilia,146,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,29,0,0,0,0,0,0,46
SIRACUSA,Sicilia,278,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28,0,0,0,0,0,0,53
MESSINA,Sicilia,349,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,14,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0,0,0,0,0,57
CATANIA,Sicilia,555,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,90,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,0,0,116
CAGLIARI,Sardegna,958,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,140,0,0,0,0,0,0,180
SASSARI,Sardegna,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,119
NUORO,Sardegna,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,158
ORISTANO,Sardegna,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,74
OLBIA-TEMPIO,Sardegna,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,47
OGLIASTRA,Sardegna,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,94
MEDIO CAMPIDANO,Sardegna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARBONIA-IGLESIAS,Sardegna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
